RRT cross
0.5157858 957.0200771586418
0.015626 967.0200771586418
1.5480283 972.6531391108892
0.7813013 970.5902744489108
1.7813681 974.8329151360301
3.6725656 976.4212263437561
0.2187644 978.6531391108892
1.7344893 970.576310447556
0.0625044 974.18186172302
9.8775187 976.4212263437561

RRT_Star cross
149.1545011 733.587465529046
54.3546319 723.2280452445376
15.8636032 727.3463472200073
1.5819439 725.5423843903257
24.9729066 728.4646568865024
50.5871019 723.7131259678778
3.7663385 726.9109462803592
14.391925 729.2683855717955
8.2983013 721.2297654225968
19.9096978 730.518905112689

Q_RRT_Star cross
9.6571774 766.0016119188838
1.9688801 777.0672616652732
7.0481349 785.721343517342
9.8762946 770.4320583868796
19.3152513 748.8336896290105
10.0233552 739.5980393226686
20.0385571 734.6914225794688
1.9845257 733.3613639605232
22.9271197 734.0739896185753
3.8613498 736.1113267384424

DT_RRT_Star cross
1.5783695 720.77248035843
1.0003213 725.7085185594194
1.5938557 723.990079333312
2.8043944 722.9343789846082
2.4157338 722.3811637638155
2.2032657 721.5678383666458
5.864923 724.8836530815089
1.0458569 721.5080290899432
9.9838725 722.7614204293029
3.8286624 729.3556715846461

Lazy_DT_RRT_Star cross
1.0938226 724.0941727191139
1.9223005 724.0941727191139
1.0940882 724.0941727191139
1.3282128 724.0941727191139
3.8596306 724.0941727191139
1.5626035 724.0941727191139
1.2344567 724.0941727191139
1.8907502 724.0941727191139
4.3445863 724.0941727191139
1.6407367 724.0941727191139

RRT maze
2.8755882 2042.1409802595867
0.0312522 2051.642306895464
2.2345228 2045.745361641124
1.3751785 2058.7133747073294
0.2500164 2056.642306895464
1.4224244 2048.9076393012924
0.5937897 2059.8045845556326
7.4546801 2065.189749362767
0.0783241 2047.9814296186237
0.0779371 2057.642306895464

RRT_Star maze
87.6240882 1274.4919767987085
55.4124235 1231.0353366512932
41.1778836 1235.547712833762
10.705834 1219.71003561424
12.7210444 1222.575385123454
22.5191863 1228.946905487596
33.1938837 1221.1913539210523
124.9386376 1219.458932764827
22.877687 1213.7949554175004
72.7743568 1208.1513098331254

Q_RRT_Star maze
49.7724453 1373.5127784907888
11.9544148 1320.2235531164197
29.8630111 1256.7371449471188
52.2869825 1266.7024588694178
25.2985798 1242.6208933059052
59.6612274 1217.180495262869
153.0382057 1212.3705823474022
84.3523173 1211.7119043821265
358.0818774 1213.0982485606257
32.312035 1208.8518572445287

DT_RRT_Star maze
64.7431265 1375.1847745130233
4.6565581 1380.028769738387
7.5636107 1380.1881545865956
4.125273 1379.726420581099
10.094891 1378.4255116541995
7.6567571 1379.013101560412
22.8938409 1379.929732983699
9.6731934 1380.7346589209517
